ablation,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,interpretation
full_risk_calibrated_collaborative_affordance_v5,10,0.72023,0.01070,0.06675,0.00460,0.26311,0.00791,0.25347,0.00525,0.12161,0.00732,0.01415,0.00192,0.00234,0.00108,0.81872,0.00035,0.09601,0.00407,0.07689,0.00023,0.33711,0.01357,all components
no_active_repair,10,0.67075,0.00648,0.07413,0.00538,0.25773,0.00873,0.29271,0.00988,0.13281,0.00897,0.03724,0.00314,0.00286,0.00080,0.74465,0.00034,0.13727,0.00441,0.14194,0.00027,0.25870,0.00819,removes active negotiation repair
no_burden_aware_query_value,10,0.67804,0.00692,0.07665,0.00557,0.50017,0.00640,0.24479,0.00684,0.13507,0.01078,0.02396,0.00304,0.06918,0.00391,1.27348,0.00028,0.12983,0.00477,0.12605,0.00026,0.13195,0.00980,asks aggressively without burden-aware value
no_calibration,10,0.67856,0.00712,0.08724,0.00653,0.26467,0.00775,0.26328,0.01031,0.16415,0.00550,0.02448,0.00288,0.00547,0.00098,0.78903,0.00037,0.19277,0.00446,0.12338,0.00019,0.24376,0.01162,removes risk calibration
no_capability_map,10,0.63316,0.00567,0.13898,0.00822,0.25451,0.00570,0.27465,0.00807,0.22630,0.00856,0.02882,0.00282,0.00208,0.00073,0.74951,0.00037,0.22347,0.00642,0.17497,0.00034,0.11764,0.00940,removes robot capability map
no_intent_belief,10,0.62222,0.00755,0.07691,0.00479,0.24366,0.00633,0.37422,0.00853,0.12995,0.00702,0.06988,0.00400,0.00182,0.00059,0.74006,0.00053,0.12075,0.00422,0.17676,0.00026,0.17905,0.01124,removes human-intent belief
no_overpromise_risk,10,0.66510,0.00799,0.14488,0.00777,0.25686,0.00551,0.26102,0.00641,0.21927,0.00736,0.01962,0.00269,0.00191,0.00087,0.78270,0.00048,0.23974,0.00568,0.14371,0.00030,0.14998,0.01573,removes physical over-promise risk
no_role_negotiation,10,0.64523,0.01041,0.08828,0.00542,0.29531,0.00880,0.27335,0.00801,0.13715,0.00509,0.07778,0.00487,0.00278,0.00075,0.66335,0.00037,0.15292,0.00440,0.15796,0.00037,0.19814,0.01337,uses fixed role assignments
shared_autonomy_only,10,0.60069,0.00754,0.13038,0.00800,0.26380,0.00744,0.31545,0.00984,0.20972,0.00481,0.06762,0.00667,0.01128,0.00241,0.71475,0.00030,0.25411,0.00528,0.20688,0.00031,0.07036,0.01499,strong shared-autonomy reference
v4_affordance_negotiation_rules,10,0.62491,0.00927,0.10894,0.00631,0.29288,0.00839,0.30148,0.00977,0.18021,0.00561,0.04384,0.00349,0.00781,0.00139,0.81011,0.00029,0.20772,0.00451,0.17506,0.00032,0.12643,0.01543,prior v4 rule proxy
