method,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
active_clarification_bandit,10,0.58377,0.00466,0.14514,0.00572,0.50139,0.01043,0.27109,0.00963,0.22726,0.00777,0.05859,0.00343,0.06615,0.00470,1.16879,0.00026,0.26339,0.00353,0.21854,0.00030,-0.09516,0.01362
capability_map_tamp,10,0.55286,0.01322,0.10130,0.00651,0.15703,0.00630,0.40087,0.00578,0.16606,0.00528,0.11406,0.00608,0.00252,0.00074,0.47137,0.00041,0.21056,0.00456,0.24755,0.00032,0.09505,0.01345
conformal_intent_risk_filter,10,0.58880,0.00700,0.10087,0.00537,0.27691,0.00387,0.33082,0.00792,0.16823,0.00662,0.07795,0.00513,0.00191,0.00066,0.70773,0.00025,0.18131,0.00445,0.22195,0.00028,0.09969,0.01101
human_model_mpc,10,0.58594,0.00682,0.15252,0.00528,0.21962,0.01003,0.31389,0.01066,0.22847,0.00550,0.06293,0.00449,0.00391,0.00068,0.63371,0.00044,0.27472,0.00337,0.22001,0.00024,0.05072,0.01491
intent_only_follower,10,0.46042,0.00668,0.22986,0.00461,0.09071,0.00471,0.37292,0.00641,0.34149,0.00860,0.13733,0.00974,0.01832,0.00192,0.33986,0.00039,0.39400,0.00143,0.34683,0.00027,-0.18140,0.01267
inverse_rl_intent_pomdp,10,0.57587,0.00836,0.16450,0.00663,0.22700,0.00588,0.29679,0.00761,0.25868,0.00835,0.06319,0.00338,0.00460,0.00111,0.60600,0.00025,0.30135,0.00396,0.23480,0.00016,0.01726,0.01147
language_affordance_planner,10,0.50156,0.01062,0.18750,0.00553,0.16224,0.00516,0.37335,0.01225,0.29280,0.00896,0.12535,0.00571,0.01276,0.00132,0.45851,0.00024,0.34342,0.00271,0.30518,0.00026,-0.10644,0.01322
oracle_joint_intent_capability_planner,10,0.79783,0.00834,0.04861,0.00391,0.27743,0.00824,0.22075,0.00594,0.10069,0.00541,0.00729,0.00155,0.00130,0.00073,0.89059,0.00026,0.06336,0.00369,0.00000,0.00000,0.44805,0.00928
proposed_affordance_negotiation_v4,10,0.63090,0.00787,0.11024,0.00661,0.28759,0.01150,0.28872,0.00825,0.18342,0.00534,0.04054,0.00282,0.00755,0.00122,0.80981,0.00043,0.20826,0.00494,0.17473,0.00022,0.13749,0.01112
risk_aware_shared_autonomy,10,0.61858,0.00398,0.10191,0.00847,0.24071,0.00781,0.32569,0.01075,0.16944,0.00568,0.05990,0.00404,0.00208,0.00077,0.67068,0.00035,0.19601,0.00617,0.18434,0.00031,0.15211,0.01226
risk_calibrated_collaborative_affordance_v5,10,0.73038,0.00638,0.06693,0.00451,0.25547,0.00674,0.24809,0.00912,0.12101,0.00493,0.01589,0.00304,0.00156,0.00061,0.81859,0.00026,0.09596,0.00395,0.07670,0.00015,0.35244,0.01230
robot_capability_only_planner,10,0.43984,0.00414,0.15990,0.00808,0.08906,0.00493,0.48108,0.00757,0.23646,0.00981,0.20373,0.00730,0.01632,0.00229,0.32078,0.00036,0.31459,0.00457,0.37327,0.00027,-0.13226,0.01436
shared_autonomy_pomdp,10,0.60503,0.00663,0.13194,0.00620,0.26285,0.00834,0.32248,0.00908,0.21102,0.00609,0.06788,0.00560,0.01137,0.00157,0.71481,0.00048,0.25464,0.00403,0.20689,0.00022,0.07035,0.00924
static_role_policy,10,0.46563,0.00903,0.17465,0.00673,0.09783,0.00430,0.42431,0.00906,0.26649,0.00863,0.14748,0.00930,0.01189,0.00148,0.37259,0.00025,0.33148,0.00347,0.33613,0.00032,-0.10658,0.01061
uncertainty_clarification_policy,10,0.55694,0.01070,0.14306,0.00695,0.49019,0.00705,0.30425,0.00981,0.23099,0.00927,0.09688,0.00355,0.07656,0.00594,1.12329,0.00031,0.27533,0.00442,0.24951,0.00032,-0.13872,0.01496
