comparison,baseline,mean_success_diff,ci95_success_diff,mean_utility_diff,ci95_utility_diff,wins_over_seeds,utility_wins_over_seeds,seeds,decision
risk_calibrated_collaborative_affordance_v5_vs_active_clarification_bandit,active_clarification_bandit,0.14661,0.00937,0.44760,0.02132,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_capability_map_tamp,capability_map_tamp,0.17752,0.01848,0.25739,0.02006,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_conformal_intent_risk_filter,conformal_intent_risk_filter,0.14158,0.00793,0.25275,0.01529,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_human_model_mpc,human_model_mpc,0.14444,0.00867,0.30172,0.01669,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_intent_only_follower,intent_only_follower,0.26997,0.00851,0.53384,0.01843,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_inverse_rl_intent_pomdp,inverse_rl_intent_pomdp,0.15451,0.01221,0.33518,0.01240,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_language_affordance_planner,language_affordance_planner,0.22882,0.01555,0.45888,0.02135,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_oracle_joint_intent_capability_planner,oracle_joint_intent_capability_planner,-0.06745,0.01002,-0.09561,0.01841,0,0,10,not_decisive
risk_calibrated_collaborative_affordance_v5_vs_proposed_affordance_negotiation_v4,proposed_affordance_negotiation_v4,0.09948,0.00815,0.21495,0.01365,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_risk_aware_shared_autonomy,risk_aware_shared_autonomy,0.11181,0.00806,0.20033,0.01641,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_robot_capability_only_planner,robot_capability_only_planner,0.29054,0.00655,0.48470,0.02017,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_shared_autonomy_pomdp,shared_autonomy_pomdp,0.12535,0.00968,0.28209,0.01725,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_static_role_policy,static_role_policy,0.26476,0.01312,0.45902,0.01929,10,10,10,v5_better
risk_calibrated_collaborative_affordance_v5_vs_uncertainty_clarification_policy,uncertainty_clarification_policy,0.17344,0.01173,0.49116,0.01699,10,10,10,v5_better
